# id, member_id, currency_id, blockchain_key, amount, fee, address, from_addresses, txid, txout, aasm_state, block_number, type, transfer_type, tid, spread, error, created_at, updated_at, completed_at
- :to_address: '0x93D360d49ef161f3f57176c0Db54a75d14ba05d1'
  :amount: '1.7501942948932'
  :currency_id: eth
  :options:
    subtract_fee: true
    gas_limit: 600000
    gas_price: 7340425178
  :status: succeed
  :hash: '0xb9672518ba6cf3e449dbe5418640cad10cfe1a928eb927925fc4cf39f094e904'
, , 2024-12-15 03:16:58.611, 2024-12-15 03:18:48.442, 2024-12-15 03:18:05.745
217225, 73204947, eth, ethereum, 1.0557925200 0.0000000000 0x712366ef7792fc2547d61065fd2ca757c99e5d73, ---
- '0x4976a4a02f38326660d17bf34b431dc6e2eb2327'
, 0xd59d4a711da3320438d5d6b6b55bd141d24decd5d03ca9e497bd36885df399c5, 69, collected, 21400446, Deposits::Coin, 200, TIDDC2F349D85, ---
- :to_address: '0x93D360d49ef161f3f57176c0Db54a75d14ba05d1'
  :amount: '1.0507569748626'
  :currency_id: eth
  :options:
    subtract_fee: true
    gas_limit: 600000
    gas_price: 8392575229
  :status: succeed
  :hash: '0x69dc6198e678639a1b9030e037d3e28419ec070978e41163ef8220c4089543be'
, , 2024-12-14 11:26:08.467, 2024-12-14 11:27:51.414, 2024-12-14 11:27:18.505
217223, 73204947, eth, ethereum, 1.4983720000 0.0000000000 0x712366ef7792fc2547d61065fd2ca757c99e5d73, ---
- '0x4976a4a02f38326660d17bf34b431dc6e2eb2327'
, 0xa0fe93347624258243c0497c0af270cba09d8b762654b2f6e3b9c4ea75dcbb29, 45, collected, 21395885, Deposits::Coin, 200, TIDB20D787EE0, ---
- :to_address: '0x93D360d49ef161f3f57176c0Db54a75d14ba05d1'
  :amount: '1.4904176100442'
  :currency_id: eth
  :options:
    subtract_fee: true
    gas_limit: 600000
    gas_price: 13257316593
  :status: succeed
  :hash: '0x996fac78d5c181edbea9ce64cd8890566aad8b37c943723f694dcc7438bb9bf8'
, , 2024-12-13 20:09:35.504, 2024-12-13 20:11:51.433, 2024-12-13 20:10:47.030
217221, 73204947, eth, ethereum, 3.2499416800 0.0000000000 0x712366ef7792fc2547d61065fd2ca757c99e5d73, ---
- '0x21a31ee1afc51d94c2efccaa2092ad1028285549'
, 0xaf1369abbee29bfcbef1d9a27bc45aee907ee8f5f6c6555efbd6186dcc202185, 98, collected, 21381916, Deposits::Coin, 200, TID98DD6B0B2B, ---
- :to_address: '0x93D360d49ef161f3f57176c0Db54a75d14ba05d1'
  :amount: '3.2374460733382'
  :currency_id: eth
  :options:
    subtract_fee: true
    gas_limit: 600000
    gas_price: 20826011103
  :status: succeed
  :hash: '0x8d066a3517011199eabe7a15083fd154934144fcf779bb2951da3c03cdf192d3'
, , 2024-12-11 21:22:38.351, 2024-12-11 21:24:39.045, 2024-12-11 21:23:52.215
217216, 73204947, usdt, ethereum, 7643.2017710000 0.0000000000 0x712366ef7792fc2547d61065fd2ca757c99e5d73, ---
- '0x9696f59e4d72e237be84ffd425dcad154bf96976'
, 0x1d17274dced85c9ebf6d24cc90647e9559271b03c3a41dc5d4271af5dc8ebe05, 96, collected, 21367143, Deposits::Coin, 200, TIDE57EE10C33, ---
- :to_address: '0x93D360d49ef161f3f57176c0Db54a75d14ba05d1'
  :amount: '7643.201771'
  :currency_id: usdt
  :options:
    gas_limit: 400000
    gas_price: 26002815290
    erc20_contract_address: '0xdac17f958d2ee523a2206206994597c13d831ec7'
  :status: succeed
  :hash: '0x21c7ce1d9ced8c01322f73a9ce4ca583bef0c9ecd2dea1975594b9d417026be3'
, , 2024-12-09 19:50:15.319, 2024-12-09 20:06:34.404, 2024-12-09 19:51:24.702
217215, 73204891, ltc, litecoin, 1.9201528100 0.0000000000 MRoJC8PTywNcp5XWjGvqv19Roged6pGyhg, , 5cacf64ed40ff77071c05234931c77455359249991ae84670cdf3a4ec7359492, 1, collected, 2805463, Deposits::Coin, 200, TIDC0DD8847EE, ---
- :to_address: MR7SS8r2hnToZGKfwpqwt1uK6598q3wUnz
  :amount: '1.92015281'
  :currency_id: ltc
  :options: {}
  :status: succeed
  :hash: 147d2c36875a0fa88fa8880dcede69c00b16b6f70c5bbf1c47546d1f2e77b446
, , 2024-12-08 11:17:51.088, 2024-12-10 01:34:12.525, 2024-12-08 11:33:15.508
217213, 73204947, usdt, ethereum, 5169.7318810000 0.0000000000 0x712366ef7792fc2547d61065fd2ca757c99e5d73, ---
- '0x21a31ee1afc51d94c2efccaa2092ad1028285549'
, 0x7d173a5e73f4fb0105e91b57d40ef8df41a091017ac74600971b539005ea8dce, 41, collected, 21354201, Deposits::Coin, 200, TID87FD85A764, ---
- :to_address: '0x93D360d49ef161f3f57176c0Db54a75d14ba05d1'
  :amount: '5169.731881'
  :currency_id: usdt
  :options:
    gas_limit: 400000
    gas_price: 9820440166
    erc20_contract_address: '0xdac17f958d2ee523a2206206994597c13d831ec7'
  :status: succeed
  :hash: '0x1f034b1a46a017e55af7d6542e098b806c04273a835171ccee54df5489e3c7f1'
, , 2024-12-08 00:31:01.346, 2024-12-08 00:33:44.581, 2024-12-08 00:32:06.800
